City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Gigmoto,PH,81.79,overcast clouds,13.7796,124.39,Cj's Travellers Inn
396,Urengoy,RU,78.73,clear sky,65.9667,78.3667,Gostinnitsa Medveditsa
397,Chalmette,US,84.2,clear sky,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
399,Hirara,JP,88.07,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
400,Palmer,US,78.35,scattered clouds,42.1584,-72.3287,Wedgewood Motel
402,Nantucket,US,79.0,clear sky,41.2835,-70.0995,Jared Coffin House
410,Sarakhs,IR,87.94,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
421,Fulton,US,78.57,clear sky,33.7668,-84.4499,The Blue Door
424,Sosva,RU,78.58,broken clouds,59.1766,61.8558,Gostinitsa
425,Bireun,ID,86.49,broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
428,Grinnell,US,80.11,clear sky,41.743,-92.7224,"Country Inn & Suites by Radisson, Grinnell, IA"
438,Shingu,JP,87.84,broken clouds,33.7333,135.9833,Shingu UI Hotel
439,Mecca,SA,87.24,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
441,Placido De Castro,BR,75.83,overcast clouds,-10.3353,-67.1856,Hotel Carioca
448,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
455,Bayonet Point,US,79.95,scattered clouds,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
456,Cockburn Town,TC,81.68,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
458,Mareeba,AU,75.92,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
466,Homestead,US,84.02,few clouds,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
468,Mazara Del Vallo,IT,78.75,clear sky,37.6641,12.588,Vizier Resort & Spa
469,Georgiyevka,KZ,75.24,scattered clouds,43.0369,74.7114,Gostinitsa Imperiya
472,Remontnoye,RU,84.02,clear sky,46.5614,43.6501,Remontnoe
474,Kiunga,PG,86.14,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
476,Guarare,PA,76.19,overcast clouds,7.8167,-80.2833,RESIDENCIAL VILLA VALENTINA
478,Itarema,BR,76.35,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
479,Kemin,KG,77.95,scattered clouds,42.7846,75.6892,Hotel Kok-Oirok
480,Tomatlan,MX,75.96,overcast clouds,19.9333,-105.25,El Salvial
483,Manggar,ID,84.7,clear sky,-2.8833,108.2667,Guest Hotel
485,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
489,Luganville,VU,81.7,few clouds,-15.5333,167.1667,The Espiritu Hotel
490,Puntarenas,CR,77.11,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
491,Puerto Penasco,MX,85.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
494,Tual,ID,80.01,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
497,Hondo,JP,86.68,broken clouds,32.45,130.2,ホテル河丁
500,Bambanglipuro,ID,81.5,broken clouds,-7.95,110.2833,Puri Brata
503,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
505,Barcelona,ES,82.72,clear sky,41.3888,2.159,Axel Hotel Barcelona
506,Nabire,ID,84.49,broken clouds,-3.3667,135.4833,Hotel Nusantara I
507,Sol-Iletsk,RU,78.46,broken clouds,51.1631,54.9918,Raduzhnaya
509,Kropotkin,RU,79.65,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
512,Tecoanapa,MX,78.3,overcast clouds,16.5167,-98.75,Hotel Manglares
513,Kailua,US,84.18,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
515,Kudahuvadhoo,MV,81.61,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
516,Bonthe,SL,75.63,light rain,7.5264,-12.505,Bonthe Holiday Village
