Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Khandbari,NP,27.3747,87.2039,84.51,70,44,4.54,scattered clouds
278,Fort Myers Beach,US,26.452,-81.9481,80.02,88,0,4.61,clear sky
279,Villena,ES,38.6373,-0.8657,75.47,62,0,0.92,clear sky
280,Waitati,NZ,-45.75,170.5667,42.8,51,88,10.02,overcast clouds
281,Itanhaem,BR,-24.1831,-46.7889,66.42,95,100,2.57,moderate rain
282,San Andres,CO,12.5847,-81.7006,82.42,83,100,13.8,overcast clouds
283,Serenje,ZM,-13.2325,30.2352,52.75,58,0,3.38,clear sky
284,Riyadh,SA,24.6877,46.7219,93.34,23,5,2.89,clear sky
285,Azanka,RU,58.0401,64.7893,75.22,52,87,4.25,overcast clouds
286,Gat,IL,31.61,34.7642,79.39,69,0,2.01,clear sky
287,Charallave,VE,10.2425,-66.8572,69.91,98,31,1.92,scattered clouds
288,Lorengau,PG,-2.0226,147.2712,83.21,75,93,9.06,overcast clouds
289,Shelburne,CA,44.0787,-80.2041,72.12,95,95,6.26,overcast clouds
290,Elat,IL,29.5581,34.9482,87.64,45,0,11.5,clear sky
291,Corinto,GR,37.9407,22.9573,82.89,53,0,16.64,clear sky
292,Kavaratti,IN,10.5669,72.642,80.8,83,100,23.85,overcast clouds
293,Vestmannaeyjar,IS,63.4427,-20.2734,51.73,82,73,18.07,broken clouds
294,San Quintin,MX,30.4833,-115.95,72.41,86,43,2.84,scattered clouds
295,Kushiro,JP,42.975,144.3747,70.75,100,100,9.22,fog
296,Gilbues,BR,-9.8317,-45.3439,69.51,48,51,4.83,broken clouds
297,Rio Grande,BR,-32.035,-52.0986,53.94,80,100,14.85,overcast clouds
298,San Patricio,US,28.017,-97.5169,84.88,73,77,12.46,broken clouds
299,Maceio,BR,-9.6658,-35.7353,71.04,88,40,2.3,scattered clouds
300,Porto Recanati,IT,43.4365,13.6613,77.11,51,70,7.76,broken clouds
301,Nizhniy Kuranakh,RU,58.8353,125.4869,56.59,82,100,8.68,overcast clouds
302,Gayny,RU,60.3071,54.3241,76.64,54,50,5.55,scattered clouds
303,La Ronge,CA,55.1001,-105.2842,70.02,64,40,5.75,scattered clouds
304,Nelson,NZ,-41.2833,173.2833,50.29,63,100,10.0,moderate rain
305,Honningsvag,NO,70.9821,25.9704,49.75,87,75,16.11,drizzle
306,Sinnamary,GF,5.3833,-52.95,78.96,78,97,9.28,overcast clouds
307,Fairbanks,US,64.8378,-147.7164,57.16,76,75,5.75,light rain
308,Sars,RU,56.5502,57.1366,75.67,56,36,3.96,scattered clouds
309,Lerwick,GB,60.1545,-1.1494,55.4,95,97,14.7,overcast clouds
310,Neiafu,TO,-18.65,-173.9833,81.28,78,20,10.36,few clouds
311,Erzin,TR,36.9559,36.2,78.93,82,97,4.07,overcast clouds
312,Lagoa,PT,39.05,-27.9833,73.15,81,16,16.6,light rain
313,Hambantota,LK,6.1241,81.1185,86.34,66,20,20.71,few clouds
314,Damara,CF,4.9608,18.7035,67.8,96,99,2.13,overcast clouds
315,Chingirlau,KZ,51.095,54.0814,80.78,40,49,8.01,scattered clouds
316,Sisophon,KH,13.5859,102.9737,74.8,93,100,12.35,light rain
317,Amudat,UG,1.95,34.95,69.84,70,72,0.94,broken clouds
318,Noshiro,JP,40.2039,140.0242,88.63,77,88,15.12,overcast clouds
