City_ID,City,Country,Date,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed
283,Roma,US,2022-08-06 04:40:32,74.66,43.2128,-75.4557,92,0,0.0
284,Maceio,BR,2022-08-06 04:40:32,71.04,-9.6658,-35.7353,94,75,3.44
285,Mitu,CO,2022-08-06 04:40:32,70.68,1.1983,-70.1733,99,99,1.81
286,Kurilsk,RU,2022-08-06 04:40:33,60.31,45.2333,147.8833,66,39,2.13
287,Oussouye,SN,2022-08-06 04:40:33,76.82,12.485,-16.5469,89,100,7.4
288,Adolfo Lopez Mateos,MX,2022-08-06 04:40:33,63.7,28.4667,-107.3,66,85,4.54
289,Srednekolymsk,RU,2022-08-06 04:40:33,65.48,67.45,153.6833,45,100,3.76
290,Waingapu,ID,2022-08-06 04:40:34,81.95,-9.6567,120.2641,63,86,11.59
291,Oxapampa,PE,2022-08-06 04:40:34,56.52,-10.5775,-75.4017,96,93,2.95
292,Atlantic City,US,2022-08-06 04:39:55,77.99,39.3643,-74.4229,82,0,4.61
293,Pilar,BR,2022-08-06 04:40:34,69.73,-9.5972,-35.9567,90,88,1.77
